packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
3257,2026-04-18T10:19:42.192,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3258,2026-04-18T10:19:42.317,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3259,2026-04-18T10:19:42.461,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3260,2026-04-18T10:19:42.593,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3261,2026-04-18T10:19:42.718,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [ACK]
3262,2026-04-18T10:19:42.823,0000000000000001,2,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3263,2026-04-18T10:19:42.910,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,PSH|ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [PSH|ACK]
3264,2026-04-18T10:19:42.967,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
3265,2026-04-18T10:19:43.040,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,1514,PSH|ACK,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [PSH|ACK]
3266,2026-04-18T10:19:43.109,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [ACK]
